,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
101,2024-10-06T02:54:10.344Z,36.3994,70.4231,210.664,4.3,mb,30.0,252.0,2.017,1.0,us,us6000nwti,2024-10-06T03:34:15.040Z,"54 km ESE of Farkhār, Afghanistan",earthquake,11.07,11.638,0.201,7.0,reviewed,us,us
105,2024-10-05T23:54:02.808Z,-2.0657,-80.5293,35.0,4.2,ml,13.0,289.0,0.98,0.62,us,us6000nwsi,2024-10-06T00:16:09.040Z,"40 km ENE of Santa Elena, Ecuador",earthquake,6.62,2.027,0.077,22.0,reviewed,us,us
108,2024-10-05T23:02:00.488Z,-28.5736,-175.7417,34.954,5.1,mb,30.0,166.0,2.029,1.05,us,us6000nwsc,2024-10-05T23:18:39.040Z,Kermadec Islands region,earthquake,12.16,7.898,0.11,27.0,reviewed,us,us
111,2024-10-05T20:52:08.987Z,53.2052,-167.0581,51.993,4.4,mb,72.0,161.0,0.552,0.86,us,us6000nwss,2024-10-06T01:20:12.040Z,"82 km SSW of Unalaska, Alaska",earthquake,4.98,5.21,0.071,57.0,reviewed,us,us
112,2024-10-05T20:44:22.234Z,-21.596,-68.5587,143.663,4.2,mb,19.0,68.0,0.666,1.38,us,us6000nwrr,2024-10-06T01:01:05.040Z,"51 km SW of Ollagüe, Chile",earthquake,7.9,7.199,0.166,10.0,reviewed,us,us
113,2024-10-05T20:40:52.482Z,52.1416,-174.4417,101.428,4.1,mb,63.0,125.0,0.162,0.74,us,us6000nwsq,2024-10-06T00:44:10.040Z,"17 km WSW of Atka, Alaska",earthquake,8.25,3.079,0.082,43.0,reviewed,us,us
114,2024-10-05T19:15:34.362Z,35.3597,52.8989,10.0,4.5,mb,52.0,142.0,4.934,0.81,us,us6000nwr9,2024-10-07T22:46:32.382Z,"50 km WSW of Semnan, Iran",earthquake,11.1,1.931,0.092,35.0,reviewed,us,us
122,2024-10-05T16:08:55.102Z,-41.3377,174.4207,48.54,5.1,mww,129.0,21.0,0.215,1.2,us,us6000nwqg,2024-10-07T18:23:23.594Z,"27 km WSW of Karori, New Zealand",earthquake,2.75,4.729,0.086,13.0,reviewed,us,us
123,2024-10-05T15:26:19.116Z,11.6489,-87.1247,44.782,4.3,mb,35.0,177.0,0.991,0.81,us,us6000nwqb,2024-10-05T17:25:31.040Z,"68 km WSW of Masachapa, Nicaragua",earthquake,5.84,12.71,0.119,20.0,reviewed,us,us
124,2024-10-05T14:53:47.625Z,-21.7033,-68.436,152.757,4.2,mb,15.0,97.0,0.755,0.66,us,us6000nwq8,2024-10-05T16:15:36.040Z,"56 km SSW of Ollagüe, Chile",earthquake,9.83,11.912,0.199,8.0,reviewed,us,us
125,2024-10-05T14:40:36.241Z,9.9631,126.3331,35.0,4.9,mb,68.0,99.0,2.97,0.81,us,us6000nwq6,2024-10-06T12:15:16.251Z,"27 km ENE of Pilar, Philippines",earthquake,7.24,1.863,0.06,88.0,reviewed,us,us
127,2024-10-05T12:50:42.585Z,53.2363,-167.1235,47.041,5.4,mww,78.0,124.0,0.504,0.79,us,us6000nwpv,2024-10-08T13:00:54.315Z,"81 km SSW of Unalaska, Alaska",earthquake,7.04,6.203,0.066,22.0,reviewed,us,us
