,time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
593,2024-09-22T07:44:34.532Z,-10.3193,161.8207,61.266,4.1,mb,23.0,144.0,2.043,0.51,us,us7000ngkl,2024-09-28T05:58:05.040Z,"18 km NW of Kirakira, Solomon Islands",earthquake,8.12,8.059,0.117,20.0,reviewed,us,us
594,2024-09-22T07:31:31.184Z,13.9305,120.7585,219.461,4.1,mb,47.0,111.0,8.302,0.95,us,us7000ngkm,2024-09-28T06:17:00.040Z,"2 km ESE of Balayan, Philippines",earthquake,12.0,8.53,0.097,29.0,reviewed,us,us
595,2024-09-22T07:21:35.374Z,6.7676,-73.1358,154.383,4.3,mb,40.0,97.0,0.871,0.78,us,us6000ntmm,2024-09-22T08:09:56.040Z,"5 km NW of Jordán, Colombia",earthquake,10.15,9.232,0.09,36.0,reviewed,us,us
598,2024-09-22T06:16:40.420Z,-9.7413,117.4617,36.431,4.2,mb,14.0,110.0,3.504,0.85,us,us6000ntmd,2024-09-22T07:24:22.040Z,"128 km SSE of Taliwang, Indonesia",earthquake,7.59,16.397,0.159,11.0,reviewed,us,us
600,2024-09-22T05:25:02.745Z,25.2395,142.7018,10.0,4.2,mb,16.0,158.0,1.906,0.57,us,us7000ngkh,2024-09-28T04:20:47.040Z,"Volcano Islands, Japan region",earthquake,9.98,1.83,0.152,12.0,reviewed,us,us
601,2024-09-22T03:37:04.802Z,-27.3124,-72.0447,10.0,4.4,mb,31.0,159.0,1.237,0.88,us,us6000ntlu,2024-09-22T04:19:33.040Z,"169 km W of Copiapó, Chile",earthquake,4.51,1.944,0.154,13.0,reviewed,us,us
603,2024-09-22T03:15:12.594Z,-15.2169,-173.0266,35.269,4.2,mb,14.0,68.0,1.773,0.35,us,us7000ngke,2024-09-27T00:48:33.040Z,"116 km NE of Hihifo, Tonga",earthquake,8.24,5.967,0.236,5.0,reviewed,us,us
604,2024-09-22T03:11:51.946Z,-7.6022,109.6947,133.324,4.3,mb,23.0,62.0,0.922,0.78,us,us7000ngkc,2024-09-27T00:34:13.040Z,"19 km E of Gombong, Indonesia",earthquake,8.06,7.55,0.129,19.0,reviewed,us,us
605,2024-09-22T03:06:22.162Z,14.5187,-60.7259,92.665,4.4,mb,30.0,145.0,0.472,0.72,us,us6000ntlr,2024-09-22T16:47:42.668Z,"12 km ESE of Le Vauclin, Martinique",earthquake,7.42,6.341,0.143,14.0,reviewed,us,us
607,2024-09-22T02:54:04.708Z,-7.9746,158.2869,69.232,4.3,mb,37.0,108.0,2.193,0.64,us,us6000ntln,2024-09-22T03:34:24.040Z,"145 km W of Buala, Solomon Islands",earthquake,9.21,5.315,0.111,27.0,reviewed,us,us
608,2024-09-22T02:49:55.398Z,-5.6883,148.0595,151.532,4.1,mb,15.0,190.0,3.798,0.42,us,us7000ngkb,2024-09-27T00:26:07.040Z,"99 km NNE of Finschhafen, Papua New Guinea",earthquake,8.13,11.898,0.184,9.0,reviewed,us,us
610,2024-09-22T02:25:47.465Z,13.1845,-89.3949,75.266,5.1,mww,93.0,110.0,0.47,1.24,us,us6000ntl2,2024-09-23T17:09:56.040Z,"34 km SSW of La Libertad, El Salvador",earthquake,6.62,5.395,0.058,29.0,reviewed,us,us
611,2024-09-22T02:20:23.334Z,-19.9127,-177.6899,550.979,4.2,mb,37.0,74.0,2.945,0.65,us,us6000ntl3,2024-09-22T03:18:47.040Z,"285 km WNW of Houma, Tonga",earthquake,15.09,7.115,0.082,46.0,reviewed,us,us
612,2024-09-22T01:53:59.724Z,-24.1395,-67.134,186.193,4.4,mb,24.0,71.0,2.456,0.4,us,us6000ntkx,2024-09-22T03:09:59.040Z,"83 km W of San Antonio de los Cobres, Argentina",earthquake,8.63,18.251,0.203,7.0,reviewed,us,us
613,2024-09-22T01:35:21.829Z,-17.8484,-178.2865,627.5,4.1,mb,25.0,93.0,3.489,0.52,us,us7000ngka,2024-09-27T00:19:44.040Z,"255 km E of Levuka, Fiji",earthquake,15.2,7.254,0.14,19.0,reviewed,us,us
615,2024-09-22T01:32:23.765Z,-31.9565,-66.9509,147.972,4.1,mb,31.0,63.0,1.532,0.95,us,us6000ntkt,2024-09-22T02:27:38.040Z,"91 km NNW of Villa General Roca, Argentina",earthquake,7.15,9.897,0.166,10.0,reviewed,us,us
616,2024-09-21T23:58:45.741Z,37.6193,57.356,10.0,4.6,mb,45.0,103.0,0.678,0.78,us,us6000ntkf,2024-09-22T13:16:29.546Z,"16 km N of Bojnūrd, Iran",earthquake,6.35,1.901,0.085,41.0,reviewed,us,us
617,2024-09-21T23:51:49.090Z,37.615,57.2985,10.0,4.3,mb,29.0,181.0,0.721,0.78,us,us6000ntkd,2024-09-22T00:10:50.040Z,"15 km N of Bojnūrd, Iran",earthquake,5.68,1.91,0.126,18.0,reviewed,us,us
620,2024-09-21T21:24:27.190Z,-31.9213,-66.794,130.391,6.0,mww,130.0,41.0,1.654,0.99,us,us6000ntjh,2024-10-07T20:24:13.482Z,"88 km NNW of Villa General Roca, Argentina",earthquake,8.14,5.144,0.03,104.0,reviewed,us,us
622,2024-09-21T21:13:21.870Z,41.7445,143.4272,89.448,4.3,mb,29.0,153.0,0.337,1.06,us,us6000ntjg,2024-09-21T21:57:54.040Z,"60 km SE of Honchō, Japan",earthquake,10.07,5.628,0.137,15.0,reviewed,us,us
623,2024-09-21T20:23:01.485Z,-6.154,129.7654,236.229,4.1,mb,14.0,107.0,1.626,0.74,us,us7000ng6s,2024-09-26T04:41:08.040Z,Banda Sea,earthquake,10.42,8.934,0.214,7.0,reviewed,us,us
624,2024-09-21T20:07:23.603Z,-21.9431,171.1268,115.536,4.2,mb,15.0,109.0,3.473,1.36,us,us7000ng6q,2024-09-26T04:18:03.040Z,southeast of the Loyalty Islands,earthquake,12.43,9.984,0.187,9.0,reviewed,us,us
625,2024-09-21T19:54:45.397Z,18.1125,-101.0743,71.333,4.7,mb,87.0,183.0,1.533,0.86,us,us6000ntiy,2024-09-21T22:34:14.809Z,"22 km SW of Placeres del Oro, Mexico",earthquake,4.76,8.368,0.029,350.0,reviewed,us,us
626,2024-09-21T19:52:31.081Z,-18.1138,-178.1427,509.656,4.2,mb,26.0,74.0,3.64,0.66,us,us7000ng6n,2024-09-26T03:48:22.040Z,"268 km E of Levuka, Fiji",earthquake,16.83,15.414,0.124,19.0,reviewed,us,us
629,2024-09-21T18:42:21.451Z,10.5277,91.6457,10.0,4.3,mb,34.0,107.0,8.215,0.58,us,us6000ntin,2024-09-21T21:44:31.040Z,"174 km SW of Port Blair, India",earthquake,8.94,1.896,0.143,18.0,reviewed,us,us
630,2024-09-21T17:44:08.570Z,-44.3157,-78.7355,10.0,4.4,mb,28.0,198.0,3.815,0.49,us,us6000ntid,2024-09-21T19:07:53.040Z,"Off the coast of Aisen, Chile",earthquake,8.5,1.98,0.241,5.0,reviewed,us,us
631,2024-09-21T17:21:18.704Z,51.2127,-178.4821,40.082,5.4,mww,328.0,34.0,0.4,0.97,us,us6000ntia,2024-10-07T19:50:08.972Z,"147 km WSW of Adak, Alaska",earthquake,3.73,3.963,0.043,53.0,reviewed,us,us
633,2024-09-21T16:41:36.538Z,10.6082,91.6041,10.0,4.9,mb,120.0,49.0,7.52,0.76,us,us6000nti2,2024-09-24T14:19:20.040Z,"171 km SW of Port Blair, India",earthquake,8.64,1.836,0.055,109.0,reviewed,us,us
634,2024-09-21T15:57:50.402Z,31.1565,140.9208,40.337,4.4,mb,67.0,132.0,2.167,0.54,us,us6000nthw,2024-09-21T18:51:42.040Z,"Izu Islands, Japan region",earthquake,5.78,7.628,0.076,51.0,reviewed,us,us
639,2024-09-21T14:42:44.531Z,36.1129,70.8054,112.973,4.5,mb,48.0,80.0,2.916,0.94,us,us6000nthh,2024-09-27T16:31:46.040Z,"77 km N of Pārūn, Afghanistan",earthquake,7.56,7.278,0.065,70.0,reviewed,us,us
640,2024-09-21T13:14:00.993Z,24.3065,141.4191,121.723,4.5,mb,37.0,110.0,2.862,0.77,us,us6000nth2,2024-09-27T19:17:12.040Z,"Volcano Islands, Japan region",earthquake,8.67,6.515,0.082,43.0,reviewed,us,us
641,2024-09-21T12:21:30.090Z,-19.6987,-177.7963,567.523,4.1,mb,26.0,84.0,3.141,0.57,us,us7000ng69,2024-09-27T13:30:08.040Z,Fiji region,earthquake,14.97,12.52,0.106,24.0,reviewed,us,us
642,2024-09-21T11:13:55.059Z,-5.996,154.6297,203.554,4.3,mb,32.0,124.0,8.14,0.7,us,us6000ntgr,2024-09-21T11:38:30.040Z,"101 km WNW of Panguna, Papua New Guinea",earthquake,11.55,4.903,0.103,27.0,reviewed,us,us
643,2024-09-21T10:51:08.587Z,24.2283,121.6792,28.641,4.8,mwr,73.0,63.0,0.094,0.91,us,us6000ntgm,2024-09-22T00:47:10.030Z,"28 km NNE of Hualien City, Taiwan",earthquake,3.63,4.31,0.061,26.0,reviewed,us,us
652,2024-09-21T02:32:17.280Z,-29.039,-176.5546,10.0,5.6,mww,60.0,51.0,1.215,1.36,us,us6000ntf1,2024-09-23T14:46:30.278Z,Kermadec Islands region,earthquake,11.01,1.81,0.08,15.0,reviewed,us,us
654,2024-09-21T02:20:28.474Z,46.1017,149.4085,178.081,4.2,mb,70.0,136.0,5.215,0.78,us,us7000ng5u,2024-09-26T02:33:57.040Z,"153 km NE of Kuril’sk, Russia",earthquake,11.58,6.439,0.074,51.0,reviewed,us,us
656,2024-09-20T23:26:16.860Z,-8.4187,115.3556,10.0,4.6,mb,23.0,58.0,1.192,1.26,us,us6000ntee,2024-09-22T13:46:56.060Z,"11 km NW of Banjar Wangsian, Indonesia",earthquake,7.8,1.899,0.125,19.0,reviewed,us,us
657,2024-09-20T23:11:44.286Z,-31.3097,-68.686,108.782,4.6,mb,75.0,45.0,0.235,0.71,us,us6000nteb,2024-09-20T23:32:56.040Z,"20 km NW of Albardón, Argentina",earthquake,6.47,4.524,0.078,49.0,reviewed,us,us
658,2024-09-20T21:16:37.232Z,28.2031,57.0941,48.169,4.5,mb,70.0,109.0,3.341,0.89,us,us6000ntdx,2024-09-20T21:55:00.040Z,"117 km E of Ḩājjīābād, Iran",earthquake,11.41,11.02,0.065,68.0,reviewed,us,us
659,2024-09-20T21:15:15.743Z,13.0408,-88.8947,64.28,4.4,mb,120.0,165.0,0.669,1.12,us,us6000ntdw,2024-09-21T04:18:57.158Z,"45 km SW of Jiquilisco, El Salvador",earthquake,6.35,4.254,0.054,97.0,reviewed,us,us
660,2024-09-20T21:05:35.547Z,-32.8844,-177.2179,10.0,4.5,mb,18.0,206.0,3.661,0.97,us,us6000ntdu,2024-09-20T21:47:18.040Z,south of the Kermadec Islands,earthquake,12.5,1.999,0.156,12.0,reviewed,us,us
661,2024-09-20T18:21:55.392Z,-36.4539,-74.8985,14.606,4.3,mb,22.0,124.0,2.901,1.06,us,us6000ntch,2024-09-20T21:44:17.040Z,"162 km W of Talcahuano, Chile",earthquake,7.51,5.942,0.376,3.0,reviewed,us,us
662,2024-09-20T17:31:23.709Z,22.0571,144.3618,54.97,4.9,mb,119.0,83.0,5.393,0.63,us,us6000ntca,2024-09-20T18:32:15.040Z,"Volcano Islands, Japan region",earthquake,9.05,6.653,0.053,116.0,reviewed,us,us
664,2024-09-20T17:02:08.998Z,-57.9268,-25.6305,91.488,4.7,mb,53.0,69.0,7.083,0.6,us,us6000ntcq,2024-09-20T19:15:43.040Z,South Sandwich Islands region,earthquake,7.01,5.5,0.097,32.0,reviewed,us,us
666,2024-09-20T16:44:46.468Z,-18.3588,-177.7407,628.362,4.6,mb,40.0,58.0,3.984,0.76,us,us6000ntbr,2024-09-27T19:23:28.040Z,Fiji region,earthquake,11.75,7.989,0.08,47.0,reviewed,us,us
667,2024-09-20T15:39:58.824Z,-12.8881,67.0372,10.0,4.5,mb,15.0,134.0,7.616,0.65,us,us6000nu3f,2024-09-27T16:42:37.040Z,Mid-Indian Ridge,earthquake,12.1,1.898,0.191,8.0,reviewed,us,us
668,2024-09-20T14:47:06.640Z,-6.8973,155.3986,70.743,4.7,mb,38.0,94.0,5.162,0.63,us,us6000ntae,2024-10-01T09:33:40.040Z,"64 km S of Panguna, Papua New Guinea",earthquake,11.18,7.468,0.061,81.0,reviewed,us,us
669,2024-09-20T14:37:16.939Z,-5.5666,147.3366,188.308,4.1,mb,25.0,110.0,3.5,0.84,us,us6000nu3e,2024-10-01T09:01:06.040Z,"123 km NNW of Finschhafen, Papua New Guinea",earthquake,10.41,6.906,0.127,17.0,reviewed,us,us
671,2024-09-20T12:22:20.612Z,33.2658,132.2769,50.772,4.9,mb,83.0,56.0,1.415,0.86,us,us6000nt9k,2024-10-01T07:51:24.040Z,"25 km SW of Yawatahama, Japan",earthquake,5.98,6.706,0.037,241.0,reviewed,us,us
672,2024-09-20T11:57:44.674Z,-19.8695,-178.3392,598.318,4.4,mb,40.0,68.0,3.505,0.76,us,us6000nt9f,2024-10-01T07:41:54.040Z,Fiji region,earthquake,13.17,5.347,0.094,35.0,reviewed,us,us
673,2024-09-20T10:51:55.008Z,-17.5802,-172.4362,10.0,5.2,mb,35.0,89.0,2.809,0.99,us,us6000nt99,2024-09-20T11:12:04.040Z,"202 km NE of Neiafu, Tonga",earthquake,7.59,1.895,0.097,35.0,reviewed,us,us
674,2024-09-20T09:55:26.237Z,-20.7605,-71.503,10.0,4.3,mb,23.0,203.0,1.265,1.02,us,us6000nt8w,2024-09-23T09:54:28.040Z,"152 km WSW of La Tirana, Chile",earthquake,5.85,1.959,0.148,13.0,reviewed,us,us
676,2024-09-20T09:30:28.269Z,-23.505,170.9479,10.0,4.7,mb,31.0,113.0,3.345,0.95,us,usd0011v12,2024-09-20T10:28:14.040Z,southeast of the Loyalty Islands,earthquake,11.31,1.915,0.112,24.0,reviewed,us,us
677,2024-09-20T08:03:59.264Z,-15.0647,-76.0813,10.0,4.1,mb,21.0,143.0,3.147,0.89,us,us6000nu36,2024-09-25T11:57:43.040Z,"102 km WSW of Changuillo, Peru",earthquake,11.23,1.899,0.145,13.0,reviewed,us,us
680,2024-09-20T06:15:55.461Z,52.7833,160.3067,44.646,4.7,mb,64.0,137.0,1.032,0.61,us,us6000nt8e,2024-09-20T06:38:50.040Z,"117 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,10.33,6.534,0.047,138.0,reviewed,us,us
682,2024-09-20T05:13:42.856Z,23.4315,142.4829,97.302,5.2,mww,68.0,79.0,3.658,0.94,us,us6000nt84,2024-09-20T05:31:32.040Z,"Volcano Islands, Japan region",earthquake,9.15,4.786,0.078,16.0,reviewed,us,us
684,2024-09-20T03:22:06.345Z,6.7359,-73.0129,161.791,4.1,mb,51.0,129.0,0.841,1.01,us,us6000nu30,2024-09-24T23:33:16.040Z,"4 km N of Aratoca, Colombia",earthquake,9.82,7.336,0.083,40.0,reviewed,us,us
685,2024-09-20T02:18:00.773Z,-14.3541,-74.4517,93.321,4.3,mb,20.0,134.0,3.31,0.95,us,us6000nu32,2024-09-24T23:02:06.040Z,"29 km ENE of Otoca, Peru",earthquake,4.79,8.452,0.161,11.0,reviewed,us,us
686,2024-09-20T02:10:17.344Z,-21.3095,-68.8202,103.555,4.5,mb,47.0,61.0,0.624,1.14,us,us6000nt79,2024-09-20T02:39:44.040Z,"59 km W of Ollagüe, Chile",earthquake,6.52,6.404,0.088,38.0,reviewed,us,us
689,2024-09-20T01:11:49.211Z,24.1684,-103.4511,10.0,4.1,mb,45.0,173.0,1.612,0.94,us,us6000nt73,2024-09-20T04:46:41.077Z,"13 km S of Miguel Auza, Mexico",earthquake,5.5,1.877,0.145,14.0,reviewed,us,us
691,2024-09-20T01:08:35.112Z,-7.4249,127.696,10.0,4.2,mb,19.0,120.0,3.625,1.05,us,us6000nu2y,2024-09-24T22:25:31.040Z,"143 km NNE of Lospalos, Timor Leste",earthquake,10.53,1.892,0.186,8.0,reviewed,us,us
692,2024-09-20T00:56:46.427Z,12.6765,57.1395,10.0,4.3,mb,18.0,116.0,24.35,0.85,us,us6000nu2x,2024-10-02T02:23:40.040Z,Owen Fracture Zone region,earthquake,12.64,1.782,0.161,11.0,reviewed,us,us
693,2024-09-20T00:45:29.473Z,-20.0304,-173.7944,10.0,4.6,mb,30.0,116.0,1.74,0.61,us,us6000nu31,2024-10-02T02:18:01.040Z,"63 km ESE of Fangale’ounga, Tonga",earthquake,8.25,1.545,0.145,14.0,reviewed,us,us
694,2024-09-20T00:44:04.954Z,1.1679,129.8627,10.0,4.4,mb,14.0,139.0,2.526,0.45,us,us6000nu33,2024-10-02T02:04:34.040Z,"171 km NNW of Waisai, Indonesia",earthquake,11.89,1.932,0.178,9.0,reviewed,us,us
695,2024-09-20T00:35:15.505Z,-22.5501,-179.5968,558.568,4.5,mb,48.0,91.0,4.306,0.81,us,us6000nt6y,2024-10-01T05:22:28.040Z,south of the Fiji Islands,earthquake,13.34,7.185,0.039,188.0,reviewed,us,us
697,2024-09-19T23:45:59.283Z,-17.9858,-174.4221,108.596,4.5,mb,45.0,75.0,4.4,0.55,us,us6000nt6a,2024-09-24T01:06:26.040Z,"87 km NNW of Neiafu, Tonga",earthquake,10.41,5.782,0.093,34.0,reviewed,us,us
698,2024-09-19T22:31:39.087Z,20.781,146.131,37.174,4.5,mb,61.0,95.0,5.519,0.77,us,us6000ntw4,2024-09-24T01:00:46.040Z,Mariana Islands region,earthquake,11.23,6.691,0.087,39.0,reviewed,us,us
699,2024-09-19T22:17:56.850Z,-27.0687,-177.686,10.0,4.4,mb,13.0,187.0,2.179,0.25,us,us6000ntw8,2024-09-24T00:19:28.040Z,Kermadec Islands region,earthquake,10.57,1.982,0.19,8.0,reviewed,us,us
700,2024-09-19T22:16:47.490Z,-5.0067,144.9452,82.79,4.1,mb,18.0,170.0,4.89,0.9,us,us6000ntw3,2024-09-23T23:59:48.040Z,"96 km WNW of Madang, Papua New Guinea",earthquake,8.8,8.993,0.158,11.0,reviewed,us,us
702,2024-09-19T22:05:40.779Z,46.4234,150.0015,11.017,4.3,mb,51.0,93.0,5.011,0.56,us,us6000ntw1,2024-09-23T22:36:51.040Z,"211 km NE of Kuril’sk, Russia",earthquake,7.64,3.559,0.097,30.0,reviewed,us,us
703,2024-09-19T21:40:05.121Z,14.8797,147.2449,10.0,4.2,mb,23.0,97.0,1.447,0.36,us,us6000ntw0,2024-09-23T21:53:49.040Z,"164 km ESE of Saipan, Northern Mariana Islands",earthquake,8.99,1.724,0.159,11.0,reviewed,us,us
704,2024-09-19T20:43:46.669Z,2.1427,128.6569,59.452,4.3,mb,39.0,112.0,1.876,0.92,us,us6000nt4t,2024-10-05T15:43:00.040Z,"85 km ENE of Tobelo, Indonesia",earthquake,7.01,6.059,0.101,28.0,reviewed,us,us
705,2024-09-19T17:08:41.733Z,-7.2967,156.0739,65.714,4.9,mb,65.0,63.0,4.384,0.76,us,us6000nt3e,2024-09-29T16:54:14.040Z,"123 km NW of Gizo, Solomon Islands",earthquake,10.51,7.108,0.055,105.0,reviewed,us,us
706,2024-09-19T17:01:28.055Z,52.9686,88.166,10.438,4.4,mb,29.0,96.0,2.229,0.53,us,us6000nt3c,2024-09-29T16:51:04.432Z,"13 km ENE of Sheregesh, Russia",earthquake,9.46,5.648,0.109,24.0,reviewed,us,us
707,2024-09-19T16:14:17.087Z,0.7959,98.8208,86.281,4.9,mb,62.0,71.0,1.888,0.81,us,us6000nt31,2024-09-27T19:28:42.040Z,"81 km SW of Padangsidempuan, Indonesia",earthquake,9.45,6.288,0.055,104.0,reviewed,us,us
708,2024-09-19T10:17:52.738Z,-5.6036,82.6218,10.916,5.1,mb,84.0,45.0,11.361,0.83,us,us6000nt14,2024-09-19T10:39:44.040Z,South Indian Ocean,earthquake,9.81,2.15,0.061,86.0,reviewed,us,us
710,2024-09-19T09:18:10.282Z,35.6655,140.9251,43.764,4.6,mb,37.0,119.0,2.367,1.65,us,us6000nt0t,2024-09-19T11:13:06.040Z,"11 km SE of Hasaki, Japan",earthquake,7.18,7.662,0.105,27.0,reviewed,us,us
711,2024-09-19T08:41:00.245Z,-5.5393,147.4772,185.308,5.6,mww,79.0,68.0,3.474,0.63,us,us6000nt0l,2024-09-20T08:44:11.649Z,"119 km NNW of Finschhafen, Papua New Guinea",earthquake,7.38,5.144,0.073,18.0,reviewed,us,us
713,2024-09-19T07:45:35.941Z,2.1851,128.6573,44.036,5.2,mww,153.0,76.0,1.907,0.6,us,us6000nt0c,2024-10-06T17:54:59.744Z,"88 km NE of Tobelo, Indonesia",earthquake,7.36,6.415,0.093,11.0,reviewed,us,us
715,2024-09-19T06:50:44.512Z,-30.7247,-71.4777,42.956,4.4,mb,29.0,106.0,0.145,0.72,us,us6000nt07,2024-10-06T15:42:57.548Z,"30 km WSW of Ovalle, Chile",earthquake,6.08,6.853,0.143,14.0,reviewed,us,us
716,2024-09-19T05:39:35.910Z,-4.3804,143.3516,118.208,4.4,mb,20.0,123.0,3.229,0.39,us,us6000nt01,2024-10-06T15:02:57.040Z,"61 km ESE of Ambunti, Papua New Guinea",earthquake,9.82,8.529,0.124,19.0,reviewed,us,us
718,2024-09-19T05:20:57.102Z,10.461,91.6084,10.0,5.2,mww,170.0,45.0,7.415,0.49,us,us6000nszv,2024-10-06T14:21:15.715Z,"182 km SW of Port Blair, India",earthquake,7.6,1.829,0.071,19.0,reviewed,us,us
719,2024-09-19T05:05:27.745Z,51.6415,176.5355,10.0,4.2,mb,44.0,210.0,1.265,0.87,us,us6000nszu,2024-10-06T14:03:10.040Z,"265 km ESE of Attu Station, Alaska",earthquake,5.32,1.971,0.11,23.0,reviewed,us,us
720,2024-09-19T04:57:49.282Z,12.4982,-88.1785,49.881,4.4,mb,152.0,160.0,0.975,0.85,us,us6000nszm,2024-09-19T05:23:09.040Z,"78 km S of Intipucá, El Salvador",earthquake,3.46,8.394,0.047,133.0,reviewed,us,us
723,2024-09-19T04:10:22.204Z,-27.5372,-176.415,39.73,4.7,mb,32.0,115.0,2.162,0.53,us,us6000ntvk,2024-09-29T04:17:17.040Z,Kermadec Islands region,earthquake,13.61,7.426,0.102,29.0,reviewed,us,us
724,2024-09-19T04:08:19.374Z,2.2683,122.7285,468.431,4.5,mb,54.0,69.0,2.26,0.7,us,us6000nszk,2024-09-19T04:23:54.040Z,"194 km N of Gorontalo, Indonesia",earthquake,11.11,3.753,0.086,40.0,reviewed,us,us
725,2024-09-19T04:01:59.772Z,-27.2853,-176.4398,27.531,4.7,mb,31.0,114.0,2.353,0.81,us,us6000ntvj,2024-09-29T03:57:20.040Z,Kermadec Islands region,earthquake,9.16,5.651,0.108,26.0,reviewed,us,us
726,2024-09-19T03:32:12.175Z,-43.8457,39.0093,10.0,4.6,mb,14.0,108.0,18.288,0.46,us,us6000ntvn,2024-09-29T04:22:42.040Z,Prince Edward Islands region,earthquake,15.87,1.918,0.151,13.0,reviewed,us,us
727,2024-09-19T03:22:54.293Z,34.7636,24.1273,47.784,4.4,mb,52.0,128.0,0.816,1.03,us,us6000nszh,2024-09-19T03:42:31.040Z,"8 km SSE of Kastrí, Greece",earthquake,7.04,9.389,0.093,33.0,reviewed,us,us
728,2024-09-19T02:51:23.213Z,2.7382,99.0857,165.946,4.2,mb,17.0,92.0,0.167,0.35,us,us6000ntvh,2024-09-29T03:40:36.040Z,"18 km ENE of Parapat, Indonesia",earthquake,7.03,5.062,0.186,9.0,reviewed,us,us
731,2024-09-18T21:33:31.334Z,41.6677,142.7353,54.256,4.5,mb,49.0,133.0,0.469,0.92,us,us6000nsyq,2024-09-18T21:47:59.040Z,"53 km SSW of Honchō, Japan",earthquake,6.84,7.059,0.079,47.0,reviewed,us,us
733,2024-09-18T20:45:50.885Z,43.2745,146.1205,82.563,4.7,mb,127.0,82.0,2.523,0.7,us,us6000nsyd,2024-09-22T21:30:46.040Z,"44 km E of Nemuro, Japan",earthquake,7.94,5.161,0.032,291.0,reviewed,us,us
734,2024-09-18T20:29:30.447Z,-22.7381,171.5682,9.895,4.5,mb,21.0,182.0,3.809,0.53,us,us6000ntb9,2024-09-22T21:06:33.040Z,southeast of the Loyalty Islands,earthquake,8.69,5.786,0.163,11.0,reviewed,us,us
735,2024-09-18T20:23:37.123Z,37.6465,71.5822,33.27,4.2,mb,16.0,124.0,1.836,1.33,us,us6000nsy5,2024-09-22T20:54:39.040Z,"17 km N of Khorugh, Tajikistan",earthquake,5.87,7.686,0.186,8.0,reviewed,us,us
736,2024-09-18T20:14:20.416Z,37.7009,71.6159,45.237,4.4,mb,49.0,108.0,1.78,0.77,us,us6000nsxz,2024-09-22T20:42:42.040Z,"24 km NNE of Khorugh, Tajikistan",earthquake,5.26,6.202,0.081,44.0,reviewed,us,us
737,2024-09-18T19:52:05.650Z,37.6369,71.6406,42.012,4.7,mb,88.0,39.0,1.842,0.58,us,us6000nsxt,2024-09-22T20:32:20.040Z,"18 km NNE of Khorugh, Tajikistan",earthquake,7.4,5.423,0.054,102.0,reviewed,us,us
739,2024-09-18T17:10:14.477Z,24.0098,121.5283,22.483,4.1,mwr,69.0,79.0,0.65,0.62,us,us6000nsww,2024-09-22T19:35:56.826Z,"8 km WNW of Hualien City, Taiwan",earthquake,3.69,5.642,0.066,22.0,reviewed,us,us
741,2024-09-18T15:26:29.775Z,46.4329,149.9542,15.258,4.2,mb,34.0,137.0,4.977,0.85,us,us6000ntb3,2024-09-21T05:27:54.040Z,"209 km NE of Kuril’sk, Russia",earthquake,9.69,5.173,0.128,17.0,reviewed,us,us
743,2024-09-18T15:09:54.084Z,23.9553,122.472,34.195,4.6,mwr,68.0,89.0,0.709,0.96,us,us6000nsw5,2024-09-18T15:43:28.040Z,"78 km SW of Yonakuni, Japan",earthquake,4.94,4.495,0.075,17.0,reviewed,us,us
744,2024-09-18T14:44:00.013Z,28.9728,102.0325,10.0,4.4,mb,55.0,101.0,7.103,0.35,us,us6000ntb2,2024-09-25T11:36:51.040Z,"114 km S of Kangding, China",earthquake,11.96,1.873,0.081,47.0,reviewed,us,us
745,2024-09-18T13:53:06.985Z,-21.5591,-68.4179,150.274,4.1,mb,14.0,117.0,0.802,0.29,us,us6000nsvp,2024-09-25T08:18:18.040Z,"40 km SSW of Ollagüe, Chile",earthquake,7.08,9.202,0.234,5.0,reviewed,us,us
746,2024-09-18T13:15:45.522Z,29.7667,131.9853,10.0,4.6,mb,34.0,114.0,2.182,0.5,us,us6000ntb1,2024-09-25T06:22:57.040Z,"143 km SE of Nishinoomote, Japan",earthquake,4.92,1.885,0.141,15.0,reviewed,us,us
747,2024-09-18T12:26:03.557Z,-27.1703,-176.8595,10.0,4.2,mb,12.0,162.0,2.272,0.48,us,us6000ntb0,2024-10-06T13:55:40.040Z,Kermadec Islands region,earthquake,8.03,1.955,0.187,8.0,reviewed,us,us
748,2024-09-18T12:11:07.932Z,-7.2385,126.2136,441.09,4.2,mb,18.0,80.0,4.176,0.63,us,us6000ntaz,2024-10-06T13:51:12.040Z,"139 km N of Baukau, Timor Leste",earthquake,15.12,11.643,0.215,6.0,reviewed,us,us
749,2024-09-18T12:08:15.514Z,31.9045,117.5888,10.0,4.9,mb,62.0,63.0,7.446,0.44,us,us6000nsvh,2024-10-06T13:30:54.976Z,"29 km E of Hefei, China",earthquake,7.88,1.751,0.087,41.0,reviewed,us,us
750,2024-09-18T12:03:42.826Z,-27.1471,-176.9316,10.0,4.2,mb,11.0,162.0,2.268,0.34,us,us6000ntb7,2024-10-06T13:04:02.040Z,Kermadec Islands region,earthquake,14.29,1.952,0.199,7.0,reviewed,us,us
